epoch = 1...
...
...
epoch = 1233, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1234, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1235, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1236, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1237, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1238, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1239, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1240, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1241, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1242, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1243, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1244, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1245, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1246, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1247, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1248, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1249, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1250, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1251, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1252, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1253, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1254, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1255, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1256, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1257, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1258, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1259, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1260, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1261, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1262, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1263, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1264, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1265, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1266, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1267, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1268, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1269, mse = 0.006, Percentage = 73/75 = 97.33%
epoch = 1270, mse = 0.006, Percentage = 73/75 = 97.33%
